protein,mediator,method,beta_XM,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
CD276,TestASV_2 (Bacteroides) prevalence || id:ebi-gm430-GCST90011693,Inverse variance weighted,0.308953916431753,0.101978795291987,0.0024488610362022,0.109075477659459,0.508832355204048,1.3619996032555,1.11524652336212,1.66334786113097
CD276,TestASV_41 (Barnesiella) prevalence || id:ebi-gm430-GCST90011717,Inverse variance weighted,-0.530788057,0.194947853031228,0.0064747271267283,-0.912885849,-0.148690265,0.588141298261502,0.401364274538494,0.861836014474551
CD276,X-15523 levels || id:ebi-met1400-GCST90200541,Inverse variance weighted,-0.101042086,0.0374590901070648,0.0069883629941652,-0.174461902,-0.027622269,0.903894991201655,0.839908852364594,0.972755737505644
CD276,OTU99_58 (Bacteroides) abundance || id:ebi-gm430-GCST90011466,Inverse variance weighted,0.25208539365809,0.0948147966083011,0.0078439600004738,0.0662483923058197,0.43792239501036,1.28670590911806,1.06849208942026,1.54948465501288
CD276,3-phosphoglycerate to phosphate ratio || id:ebi-met1400-GCST90200729,Inverse variance weighted,-0.089216448,0.0349432913552579,0.0106744878290011,-0.157705299,-0.020727597,0.914647578103071,0.854101449008057,0.979485742708209
CD276,Cortisone levels || id:ebi-met1400-GCST90200360,Inverse variance weighted,0.105167714290696,0.0421180118049878,0.0125257017486382,0.02261641115292,0.187719017428472,1.11089690801984,1.02287410118736,1.20649446380107
CD276,Methyl indole-3-acetate levels || id:ebi-met1400-GCST90200296,Inverse variance weighted,-0.09255379,0.0372516798323761,0.0129714034349571,-0.165567082,-0.019540497,0.911600175055043,0.847413015094645,0.980649180928111
CD276,S-allylcysteine levels || id:ebi-met1400-GCST90199948,Inverse variance weighted,0.0935992314004961,0.0381662330668898,0.0141903081532032,0.018793414589392,0.1684050482116,1.09811956587739,1.01897112230463,1.18341585405818
CD276,Sphinganine levels || id:ebi-met1400-GCST90200374,Inverse variance weighted,-0.091841538,0.0383166082928886,0.0165338937291474,-0.166942091,-0.016740986,0.912249694571232,0.846248615559632,0.983398365378673
CD276,O_Bacteroidales abundance || id:ebi-gm430-GCST90011348,Inverse variance weighted,-0.108886249,0.0455971974860688,0.0169401989048068,-0.198256756,-0.019515742,0.896832427340842,0.82015924528885,0.980673457441547
CD276,Monocyte chemoattractant protein-3 levels || id:ebi-IPs91-GCST90274823,Inverse variance weighted,0.070431421311409,0.0303694917515082,0.0203868785612454,0.010907217478453,0.129955625144365,1.07297098396457,1.01096691803323,1.13877784910075
CD276,P_Bacteroidetes abundance || id:ebi-gm430-GCST90011482,Inverse variance weighted,-0.103738597,0.0456440602747487,0.0230398501429368,-0.193200956,-0.014276239,0.901460910788271,0.824316306509315,0.985825182957286
CD276,4-oxo-retinoic acid levels || id:ebi-met1400-GCST90199894,Inverse variance weighted,-0.082070886,0.0365526610324314,0.0247502912762048,-0.153714101,-0.01042767,0.921206655947637,0.857517148935093,0.989626509529387
CD276,X-24565 levels || id:ebi-met1400-GCST90200645,Inverse variance weighted,-0.105548351,0.0479713063416525,0.0277899251465493,-0.199572111,-0.01152459,0.899830964139487,0.819081153635334,0.988541563226696
CD276,Sucrose levels || id:ebi-met1400-GCST90200449,Inverse variance weighted,-0.077608907,0.0354803761600255,0.0287151209420748,-0.147150444,-0.008067369,0.925326244734676,0.863164109858946,0.991965084524539
CD276,Phosphatidylcholine (O-16:0_16:0) levels || id:ebi-PL179-GCST90277318,Inverse variance weighted,-0.118095415,0.0543606091721216,0.0298221394144989,-0.224642209,-0.011548621,0.888611261562208,0.79880197166355,0.988517808150535
CD276,Glycolithocholate sulfate levels || id:ebi-met1400-GCST90199811,Inverse variance weighted,-0.076331824,0.0352082471105344,0.0301579417024764,-0.145339989,-0.00732366,0.926508717336726,0.864728245254077,0.992703092575312
CD276,N-formylanthranilic acid levels || id:ebi-met1400-GCST90199960,Inverse variance weighted,-0.078829576,0.0365903635235812,0.0312103233902485,-0.150546688,-0.007112463,0.924197416875313,0.86023756626341,0.992912770676953
CD276,OTU97_26 (Parasutterella) prevalence || id:ebi-gm430-GCST90011588,Inverse variance weighted,-0.305025642,0.142036357293904,0.0317520611799939,-0.583416902,-0.026634382,0.73710447324177,0.557988513243806,0.973717185170135
CD276,OTU99_26 (Parasutterella) prevalence || id:ebi-gm430-GCST90011649,Inverse variance weighted,-0.305025642,0.142036357293904,0.0317520611799939,-0.583416902,-0.026634382,0.73710447324177,0.557988513243806,0.973717185170135
CD276,"Sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0) levels || id:ebi-met1400-GCST90200134",Inverse variance weighted,-0.075953434,0.0355038102311897,0.0324110767551483,-0.145540902,-0.006365966,0.926859365574193,0.864554527189644,0.993654253763632
CD276,Citrulline to dimethylarginine (SDMA + ADMA) ratio || id:ebi-met1400-GCST90200761,Inverse variance weighted,-0.073440916,0.0352011975441425,0.036949764811905,-0.142435264,-0.004446569,0.929191044183524,0.8672436947792,0.995563302205027
CD276,"5,6-dihydrouridine levels || id:ebi-met1400-GCST90199767",Inverse variance weighted,-0.078185084,0.0378568666814884,0.038896377866969,-0.152384543,-0.003985626,0.924793245858382,0.858658026192851,0.996022306315923
CD276,G_Oscillibacter abundance || id:ebi-gm430-GCST90011334,Inverse variance weighted,-0.11126463,0.0539785206981748,0.0392767148974058,-0.217062531,-0.00546673,0.894701952488419,0.804879638030855,0.994548185794584
CD276,Neurotrophin-3 levels || id:ebi-IPs91-GCST90274829,Inverse variance weighted,-0.061500379,0.0301029937440011,0.0410525590944969,-0.120502247,-0.002498512,0.940352588940422,0.886475095283557,0.997504606989669
CD276,Glycosyl-N-stearoyl-sphingosine (d18:1/18:0) levels || id:ebi-met1400-GCST90199846,Inverse variance weighted,-0.069397602,0.033999467978379,0.0412371240545722,-0.136036559,-0.002758645,0.932955661267081,0.872810722591858,0.997245156779901
CD276,Glucose to sucrose ratio || id:ebi-met1400-GCST90200913,Inverse variance weighted,0.0731607724708645,0.0359783414479869,0.0420053574995373,0.0026432232328101,0.143678321708919,1.07590349867448,1.00264671962724,1.15451266712401
CD276,Arginine to citrulline ratio || id:ebi-met1400-GCST90200743,Inverse variance weighted,0.0700167341312046,0.0348397185580107,0.044464920507042,0.0017308857575035,0.138302582504906,1.07252612889701,1.00173238460491,1.14832296014918
CD276,Methylsuccinate levels || id:ebi-met1400-GCST90200352,Inverse variance weighted,-0.071657276,0.0358494626384531,0.0456258623493593,-0.141922222,-0.001392329,0.930849866078877,0.867688740604676,0.998608639977544
CD276,Glutarate (C5-DC) levels || id:ebi-met1400-GCST90200380,Inverse variance weighted,0.0710739951205348,0.0357202507252329,0.0466196350281957,0.0010623036990783,0.141085686541991,1.07366066857972,1.00106286814351,1.1515233138083
CD276,TestASV_34 (Phascolarctobacterium) prevalence || id:ebi-gm430-GCST90011709,Inverse variance weighted,-0.315358036,0.159157022398539,0.0475433983067801,-0.6273058,-0.003410272,0.729527630564927,0.534028644750213,0.996595536568292
CD276,X-25271 levels || id:ebi-met1400-GCST90200667,Inverse variance weighted,0.0689633976789685,0.0350186034589609,0.0489145157904704,0.000326934899405,0.137599860458532,1.07139699281396,1.00032698834844,1.14751629175375
CD276,Alpha-tocopherol levels || id:ebi-met1400-GCST90200302,Inverse variance weighted,-0.071811996,0.0365540522844777,0.0494671905063146,-0.143457939,-0.000166054,0.930705855550755,0.866357239504685,0.999833960009032
CD276,GCST90001733.tsv_cleaned,Inverse variance weighted,-0.232499543,0.0716662665096743,0.00117781933572233,-0.372965425,-0.09203366,0.792550111918361,0.688689043935755,0.91207444845079
CD276,GCST90001648.tsv_cleaned,Inverse variance weighted,-0.218558475,0.0720814424445001,0.00242855014230552,-0.359838102,-0.077278848,0.803676483190586,0.697789287572155,0.92563170736094
CD276,GCST90001732.tsv_cleaned,Inverse variance weighted,-0.248145966,0.0830908547343126,0.0028224495355424,-0.411004041,-0.085287891,0.780246045515392,0.66298425224326,0.918247891232014
CD276,GCST90001731.tsv_cleaned,Inverse variance weighted,-0.230836209,0.0860491896691394,0.00730506513062569,-0.399492621,-0.062179797,0.793869484195805,0.670660238924503,0.939713913781399
CD276,GCST90001754.tsv_cleaned,Inverse variance weighted,-0.217522421,0.0824416038561153,0.00832729594053538,-0.379107964,-0.055936877,0.80450956720882,0.684471710331784,0.94559882309349
CD276,GCST90001755.tsv_cleaned,Inverse variance weighted,-0.208703509,0.0797054888131154,0.00883345504306168,-0.364926267,-0.052480751,0.811635842933596,0.694247838119303,0.948872586076857
CD276,GCST90001697.tsv_cleaned,Inverse variance weighted,0.927654329208646,0.358886529848342,0.0097432012804199,0.224236730705895,1.6310719277114,2.52857102067288,1.25136722141259,5.1093486365811
CD276,GCST90001650.tsv_cleaned,Inverse variance weighted,-0.180447951,0.0718845103740882,0.0120646387870929,-0.321341591,-0.03955431,0.834896135393418,0.725175495289329,0.96121774856272
CD276,GCST90002109.tsv_cleaned,Inverse variance weighted,-0.261444827,0.106373500832869,0.0139790867138101,-0.469936888,-0.052952765,0.769938354312779,0.625041714479474,0.948424810231348
CD276,GCST90001753.tsv_cleaned,Inverse variance weighted,-0.210608782,0.0875230611859573,0.0161139969054339,-0.382153982,-0.039063582,0.810090926981835,0.682389969337927,0.961689560904592
CD276,GCST90002089.tsv_cleaned,Inverse variance weighted,-0.191306663,0.0804764848733843,0.0174458238123786,-0.349040573,-0.033572753,0.825879282741602,0.705364510726697,0.96698455803947
CD276,GCST90001696.tsv_cleaned,Inverse variance weighted,2.07712905561541,0.878457906777851,0.0180535764977779,0.35535155833082,3.798906553,7.98152148537299,1.42668212811523,44.6523328259742
CD276,GCST90001765.tsv_cleaned,Inverse variance weighted,-0.162046314,0.0712675229918975,0.0229795165501429,-0.301730659,-0.022361969,0.850401818167549,0.739537225758512,0.977886206608375
CD276,GCST90001925.tsv_cleaned,Inverse variance weighted,-0.173425137,0.07716886951863,0.0246179339508631,-0.324676122,-0.022174153,0.840780091911667,0.722761402609056,0.978069886415007
CD276,GCST90001460.tsv_cleaned,Inverse variance weighted,-0.17570949,0.0802793127890231,0.0286166966772591,-0.333056943,-0.018362037,0.838861645450695,0.716729380064149,0.98180551792821
CD276,GCST90001695.tsv_cleaned,Inverse variance weighted,16.5056980372643,7.72109737393965,0.0325378580822098,1.37234718434262,31.6390488901861,14734438.0636471,3.94459853795539,55038215666931.9
CD276,GCST90001454.tsv_cleaned,Inverse variance weighted,-0.164954415,0.0793690746649862,0.0376798034992083,-0.320517801,-0.009391028,0.847932356507543,0.725773133717239,0.99065292969711
CD276,GCST90001927.tsv_cleaned,Inverse variance weighted,-0.157953311,0.0771612293453866,0.0406526461225478,-0.30918932,-0.006717301,0.85388964862429,0.734041787985851,0.993305209541786
CD276,GCST90001477.tsv_cleaned,Inverse variance weighted,-0.164032576,0.0809633138751613,0.042763643000752,-0.322720671,-0.005344481,0.848714373792928,0.724176109436172,0.994669775620662
CD276,GCST90001450.tsv_cleaned,Inverse variance weighted,-0.158765722,0.0787272375692505,0.0437314693962875,-0.313071108,-0.004460337,0.853196220433495,0.73119791677033,0.995549595897781
CD276,GCST90002059.tsv_cleaned,Inverse variance weighted,0.154909287665888,0.0771603836525512,0.0446829182344127,0.00367493570688748,0.306143639624888,1.16755204493005,1.00368169656248,1.35817738062686
